,10-Heptadecenoic acid_ (Z)-_ TMS derivative,1_5-anhydro-D-sorbitol,1-Decanol_ 2-hexyl-,1-Dodecanol_ TMS derivative,1-Heptanol_ TMS derivative,1-hexadecanol,1-Hexadecanol_ TBDMS derivative,1-Monomyristin_ 2TMS derivative,1 monoolein,1-Monopalmitin_ 2TMS derivative,1-Nonene_ 4_6_8-trimethyl-,1-Octadecanol_ TMS derivative,1-octadecene,1-stearoyl-rac-glycerol,2-Ethyl-3-hydroxypropionic acid_ di-TMS,2-hydroxybutyric acid,2-Hydroxybutyric acid_ 2TMS derivative,2-ketoisocaproic acid 2,2-Methoxyestradiol_ 2TMS derivative,2-Monomyristin_ 2TMS derivative,2-Palmitoylglycerol_ 2TMS derivative,2-Propenoic acid_ 2_3_3-tris[(trimethylsilyl)oxy]-_ trimethylsilyl ester,2-Pyrrolidinone_ TMS derivative,3-indoleacetic acid,3-indolelactic acid 2,3-Pyridinol_ TMS derivative,4-hydroxyphenylacetic acid,4-Pyridinol_ TMS derivative,5alpha-Cholestanol,9-Decenoic acid_ TMS derivative,9-Hexadecenoic acid_ (Z)-_ TBDMS derivative,Acetamide_ TMS derivative,acetohydroxamic acid,.alpha.-D-Glucopyranose_ 2_3_4_6-tetrakis-O-(trimethylsilyl)-_ bis(trimethylsilyl) phosphate,.alpha.-Tocopherol_ TMS derivative,Aminomalonic acid_ tris(trimethylsilyl)-,Anthraquinone_ 1-(o-chlorophenyl)-,arabinose,arachidic acid,Arachidonic acid_ TMS derivative,aspartic acid 1,aspartic acid 2,Benzoic acid_ 5-methoxy-2-[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Benzoic Acid_ TMS derivative_,Beta- alanine 1,.beta.-Gentiobiose_ octakis(trimethylsilyl) ether_ methyloxime (isomer 1),.beta.-Tocopherol_ TMS derivative,Butanoic acid_ 2_4-bis[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Campesterol_ TMS derivative,capric acid,cholesterol,citric acid,citrulline 2,Creatinine,D-allose 1,D-glucose 1,D-glucose 2,Diethanolamine_ 2TMS derivative,Dihydrouracil_ 2TMS derivative,dioctyl phthalate,DL-isoleucine 1,DL-isoleucine 2,DL-Ornithine_ 3TMS derivative,D-malic acid,D-mannitol,Doconexent_ TMS derivative,D-threitol,D-(+)-Turanose_ octakis(trimethylsilyl) ether,eicosane,eicosapentaenoic acid,elaidic acid,ethanolamine,Ethanolamine_ 3TMS derivative,galactitol,galactonic acid 2,galacturonic acid 1,.gamma.-Tocopherol_ TMS derivative,gluconic acid 2,Gluconic acid_ 2-methoxime_ tetra(trimethylsilyl)-_ trimethylsilyl ester,Glucose_ 5TMS derivative,glycerol,glycerol 1-phosphate,glycine,Glycine_ 2TMS derivative,Glycine_ TMS derivative,glycolic acid,Glycolic acid_ 2TMS derivative,guanosine 2,Heneicosane,Heptacosane,heptadecanoic acid,Heptadecanoic acid_ glycerine-(1)-monoester_ bis-O-trimethylsilyl-,Hexadecane,hypoxanthine,inosine,Lactic Acid_ 2TMS derivative,lactose 1,L-alanine 1,L-alanine 2,L-Alanine_ 2TMS derivative,L-Alanine_ TMS derivative,L-asparagine 2,L-Asparagine_ 2TMS derivative,lauric acid,L-cystine 1,L-cystine 2,L-cystine 3,Leu-Trp_ N-trimethylsilyl-_ trimethylsilyl ester,L-glutamic acid 1,L-glutamic acid 2,L-glutamic acid 3 (dehydrated),L-glutamine 1,L-glutamine 2,linoleic acid,L-(+) lactic acid,L-leucine 2,L-lysine 1,L-lysine 2,L-methionine 1,L-methionine 2,L-norleucine 1,L-Phenylalanine_ 2TMS derivative,L-proline 2,L-Proline_ 2TMS derivative,L-Proline_ TMS derivative,L-serine 1,L-serine 2,L-Serine_ 2TMS derivative,L-threonine 1,L-threonine 2,L-tryptophan 2,L-tyrosine 2,L-valine 2,L-Valine_ TMS derivative,m-Cresol_ TMS derivative,Methoxyamine_ TMS derivative,Methyl Caprate,Methyl galactoside_ 4TMS derivative,Methyl Laurate,Methyl Myristate,methyl oleate,Methyl Palmitate,Methyl Stearate,Monolaurin_ 2TMS derivative,myo-inositol,Myristic Acid d27,N-acetyl-D-glucosamine 2,N-Acetyl glucosamine methoxime_ tetrakis(trimethylsilyl),Nonanoic acid_ TMS derivative,norvaline 2,Octadecane,O-phosphocolamine,oxalic acid,Oxalic acid_ 2TMS derivative,palmitic acid,palmitoleic acid,p-cresol,Pentadecanoic acid_ TMS derivative,Phenol_ TMS derivative,Phenylalanine 1,phosphoric acid,Phosphoric acid_ 2-(trimethylsiloxy)-1-[(trimethylsiloxy)methyl]ethyl bis(trimethylsilyl) ester,Phosphoric acid_ 2-[(trimethylsilyl)oxy]-1_3-propanediyl tetrakis(trimethylsilyl) ester,Phosphoric acid_ bis(trimethylsilyl)monomethyl ester,Propylene glycol_ 2TMS derivative,Propylparaben_ TMS derivative,Pseudo uridine penta-tms,psicose 1,Pyroglutamic acid_ TMS derivative,pyrophosphate,quinic acid,ribitol,Ribonic acid_ 2_3_4_5-tetrakis-O-(trimethylsilyl)-_ trimethylsilyl ester,ribose,(R_R)-2_3-Dihydroxybutanoic acid_ tris(trimethylsilyl)-,(R_S)-2_3-Dihydroxybutanoic acid_ tris(trimethylsilyl) deriv.,serotonin 1,stearic acid,succinic acid,tagatose 1,tetracosane,Tetradecanoic acid_ triethylsilyl ester,Thiazolidine-2_5-dione,threonic acid,trans-4-hydroxy-L-proline 1,trans-aconitic acid,tyrosine 1,tyrosine 2,Urea_ 2TMS derivative,uric acid 1,uric acid 2,uridine,Uridine_ 3TMS derivative,xanthine,xylitol,xylose 1
279,105224.9189,4464524.099,299329.1072,81771.6879,128489.5756,71735.4777,47102.9241,2622824.719,,,273922.0524,,555161.7174,,152733.6771,,551125.3206,487181.802,,74975.4234,3651127.74,84198.1177,164226.8165,427755.8008,267661.4015,,102425.1222,356679.6153,22827.5862,139908.4205,2570501.362,381318.8435,385888.8048,,1058338.959,541193.6576,292452.9349,171410.3857,175473.1594,235053.3777,311388.257,167230.4401,88818.1505,55360.5586,131216.7163,11052.5971,40151.0638,92794.3058,,166455.1183,4452482.936,4413550.402,,,4987291.176,8330356.618,8570850.575,173627.3413,39783.0992,3419491.286,3179930.702,2528683.406,1385727.175,549373.7283,81283.1108,59510.6677,886056.3027,,103225.684,116374.9081,750169.9561,,1439394.277,63294.8379,48546.6141,,236375.9143,,,8688682.895,3050432.746,834250.8528,3910779.449,676404.6966,396370.5306,3132459.36,,69706.4324,148444.1208,94603.902,527165.8596,323418.4705,189957.5217,,753585.1584,5680886.373,51851.9215,,,2300946.735,485774.6184,95552.1624,222904.4415,433689.3191,571706.1303,142893.566,113797.1504,,1254108.292,801966.7139,8621308.87,645785.4396,,1864367.782,1128178.016,2768250.553,5760093.497,349782.9695,285925.0869,279015.7132,2027038.935,1264495.028,3214237.949,797055.6652,6844682.399,1091524.557,1394669.261,3490718.691,3466053.679,1347140.696,4436690.644,,763010.2591,4329312.221,297083.577,4103582.203,4130356.471,8253135.34,5763429.025,5395032.464,1535183.745,6828201.294,5973924.63,245441.9496,3281263.557,5332582.879,1492001.999,73239.0771,99615.6958,2893440.446,190881.1135,141508.0727,,598867.674,7375943.663,838033.1015,,135500.8675,,2223353.012,8449700.777,199902.6325,609750.3307,114942.5138,,,714669.207,2135960.916,891666.7178,79877.7208,171660.622,,,396921.2263,203528.3461,391683.9431,112615.3064,5815076.527,555545.284,,157654.9698,,2409476.542,2988597.041,204452.6586,127346.8334,4835095.107,744819.3817,,8535195.829,263907.1337,136434.6248,,,547162.0915,
141,75272.0267,6720102.739,513507.3195,101969.5129,78719.0023,,74847.3657,2488855.804,123516.8418,6786364.815,335249.5093,,788894.963,6752166.533,133310.0607,740524.1028,554790.3611,211362.3445,,79934.3443,2290339.629,,179102.8888,186800.6606,266217.7401,457405.7171,78918.1031,417026.6545,27012.7744,87985.4167,3757958.666,754672.4424,492842.2961,,1133376.734,989846.5573,628009.6603,396214.3906,209421.7217,479415.8841,882050.961,160613.4469,,,,6797.6073,43773.319,197788.7016,,167436.4439,5044750.091,4238760.554,44420.3227,,2168038.404,11068373.45,8401409.171,245515.5339,36473.6021,2836025.316,3879263.32,1970038.532,288913.8458,531399.524,,134790.2374,1810498.279,3355665.85,125886.5549,,4314947.739,,1614105.463,89943.4387,358298.9029,433576.9006,254030.0336,160816.066,256932.0713,,4412194.29,916372.6776,7739549.482,1411825.856,835863.1695,3416394.173,,97394.2074,113878.2528,,359853.3635,416779.8526,227660.1702,92410.5168,927153.007,3201689.969,103935.3526,,,1953124.788,887987.9279,279319.9397,107184.5755,736368.317,118675.392,1469518.997,1910450.873,470275.1304,857965.959,458609.9433,,1327847.348,,2259519.048,536856.7063,2570978.604,2959455.715,1721402.172,349285.7958,207013.309,3122160.411,989772.8863,4041912.053,1744520.441,8156716.075,,1423306.209,1952375.206,4459072.099,1921145.681,6491664.573,3695734.286,386728.9677,4446117.896,835670.4027,5750200.299,6560969.669,8467510.254,7656006.059,6543156.483,1870345.081,8225130.774,7214611.507,295431.8077,3604467.898,5701045.348,1235773.516,7774449.421,167789.4842,2973417.837,189821.5654,221951.767,4038156.961,5398818.379,7750169.193,537847.3093,,157621.8996,124976.1865,2710957.813,8903238.054,,160860.8078,181458.1585,,114059.6617,1099316.377,3526874.322,1339450.0,206099.1484,,983038.3394,,138645.5234,181977.7047,435264.4823,263322.7959,6828318.46,1278159.362,443383.6759,95654.0126,29551.255,3407715.573,3661913.754,244799.9118,155853.8779,3164424.204,,8222995.648,8436013.285,83603.4164,,406053.3337,40602.5581,,507653.623
242,118371.0474,6506680.729,206937.694,,85486.3396,53461.7841,46443.3905,2137811.912,,5473112.028,234050.1731,165981.3557,172158.3805,,145941.4421,525061.2963,613729.3905,,1844327.756,77183.5087,3179478.658,88538.6323,141919.6607,176495.2056,428274.4778,355384.4682,93560.3053,313446.1216,33237.8446,86401.4544,2707126.824,476619.8775,641508.9879,552569.7095,692585.8884,481042.0541,396735.3199,332316.0317,331073.2078,624235.1925,322760.8959,244735.6495,,102378.9558,75585.4066,38384.8935,29802.9792,200146.7004,22303.9971,,4560512.227,3961131.958,58644.8504,,1129230.935,,8401669.294,145295.57,32499.2552,2358349.626,2279024.575,1122212.754,235333.8444,409712.8146,546554.7838,134494.2696,1873728.89,,65552.4001,419584.6233,3556650.295,,1658802.856,72407.9497,126009.6402,704621.6903,186288.5686,145785.5935,268429.5276,278914.2662,2526896.593,1005003.154,4625600.174,672518.7203,757941.4766,3437427.128,88150.3858,20426.5302,,,280268.8941,304950.0471,59528.4839,154432.7152,269369.0388,,49955.2453,,,2086731.988,595933.017,135233.4351,,,153749.1594,1092960.898,319743.9733,2098015.138,1195976.83,593974.0104,8442157.603,,,2745561.267,599957.2561,1331173.35,1601506.421,868601.1678,127488.37,134156.7515,1020196.428,714658.1269,4722944.576,1431579.645,8386775.309,3836518.789,1259575.625,3963181.65,2247783.93,996349.2703,1578515.558,2055832.751,279945.804,2751137.845,462926.5,5160157.587,4166133.239,6943651.282,5511291.89,5215112.58,1711181.627,7266903.814,6092804.003,209139.5496,5700096.934,6243435.658,812797.2942,3441322.902,89863.5477,1938945.481,62885.8768,124684.1657,,6179173.694,8189530.283,1403975.617,,146921.2621,94624.2169,1657902.599,8535721.886,117672.0648,396980.9036,92299.1288,2226731.085,68758.1107,1566207.949,3558543.345,722335.5092,125528.0464,,,,102397.4882,113892.9062,545898.2397,,6261695.577,963046.0753,362316.9224,42824.5372,,,4288271.908,276817.7088,98690.9115,1951125.352,,8366672.584,8660175.793,118223.4263,219704.1943,301553.1454,37636.6612,808034.2193,352340.0002
357,98666.0927,8068880.679,575624.073,60401.862,162723.1735,21773.0608,35893.0927,2124927.964,62136.7694,6586376.832,56176.0474,,329696.5365,6289804.831,80599.1959,,985514.26,244225.3094,4949938.242,,1002552.89,,139522.8641,,,341312.7876,38363.7201,198107.3688,28215.5253,57311.3187,3479635.351,273598.3898,367168.5486,586958.4026,579820.0981,124887.9195,540912.0723,58790.8373,82457.5354,332025.2158,,71852.1313,303593.3713,,,11834.4814,22535.2296,,59467.7554,109389.6932,5462505.147,3494383.936,,149580.7151,1316805.843,,8325082.747,168122.5761,38629.0706,2097555.533,,185829.5518,,418081.3161,,175323.6637,572832.7613,2234432.24,81663.1466,46257.8568,6608406.986,321046.4818,,,38536.4461,933403.3874,95834.8922,49256.6095,,7568075.489,4065816.527,402375.3283,1523630.541,794706.8071,,2382147.362,,,,42273.3582,622776.2132,283606.381,194300.8145,102337.3287,,6572637.943,56688.5882,916834.7727,318046.8013,728513.8665,,59015.4454,,246251.2266,187523.9942,189452.4285,201046.9282,377262.0645,502161.3288,364430.7344,8477240.379,,,3712958.344,44250.5861,,,,107080.4822,,,255276.2453,1162653.311,300152.3984,4223589.05,1393616.247,434372.5385,,1693197.657,566021.1642,1280608.161,,678739.0388,,,2060802.35,5408837.65,8501810.089,6146981.257,6067699.884,1468804.533,6388809.776,5744310.975,201542.0759,2231066.009,8327650.724,,865720.8506,48503.4006,,167418.4649,68346.4919,83419.4296,5589058.359,8485505.989,1397766.867,,139358.0922,50172.4236,830059.8657,7816484.223,,285540.0426,240320.7203,145110.421,82096.349,522383.3939,2478071.079,1074317.651,225296.86,119480.7067,,211917.9752,57378.1598,61270.7335,167357.302,,6685344.088,871621.264,328058.3085,37686.723,34933.0994,,1707459.397,473923.7366,48657.1256,1148797.599,153375.5487,10327157.21,7879896.385,563617.7639,,,107025.7013,231710.1817,718471.622
47,68870.3919,6059968.724,244107.2675,83340.7634,198689.6283,,50536.954,2061498.5,60548.1228,4922500.683,417586.3514,,583249.8892,,198804.0863,466949.154,,,,58143.7125,3056298.872,117310.207,222859.6517,293110.9774,552137.7024,195012.7057,72826.0579,334519.143,32240.6417,47320.8761,1995480.662,622723.3104,507387.6429,678642.3679,703272.8043,185930.8606,,244319.1786,263768.8455,231117.7587,223173.6635,99086.1665,62773.5895,,115123.128,,23116.0014,261556.2258,19953.2758,139181.4692,3919607.5,3955063.067,94534.0563,,1050756.684,8387339.904,8557089.634,,45034.7657,2042433.056,2315904.073,1267653.017,240076.4952,385358.2725,441969.7491,51258.5937,1452722.627,,146751.0808,,2774980.299,185720.172,1843076.797,,120061.7517,529761.2234,137646.0174,154348.0705,278354.4957,160661.3201,1179458.856,657059.3861,3362098.136,417966.7742,196516.564,3270304.189,147968.1458,101522.9308,142102.0538,,300680.243,284582.3901,206990.3485,104566.811,791397.1008,,71179.9738,,,2926691.328,370376.586,154965.1381,168750.3847,,94485.1907,584799.9473,848397.113,336424.879,525364.9328,349012.3049,8571852.18,,,1721533.168,492124.6234,1704005.883,,668192.896,127100.0859,125313.9293,1427004.009,1088063.259,7401635.499,1590006.701,8525534.391,775771.3104,1384498.211,1196996.808,2870648.305,1548068.552,5495791.868,1998132.429,270527.7242,2796976.976,659971.4826,4610128.83,4037467.764,6159644.819,5478554.084,5170990.514,1504829.883,6844005.163,5872839.922,215359.2026,4565368.987,5019057.249,,2834126.259,84164.5373,2866066.085,132570.451,129306.039,2911370.772,7704081.068,6788120.772,717267.7513,,100655.9172,221884.7925,1876615.892,8461577.865,54306.8932,,170011.7503,2998631.184,79734.4512,1199916.37,4555342.861,565286.0283,51667.9589,,427027.3623,599832.9436,122849.5615,338865.7254,433329.7809,41296.9566,5460399.409,1148726.502,272187.907,55325.6435,17036.3146,185645.6421,4396666.806,1148988.578,90556.5858,2403941.052,,6532859.629,8461718.88,103860.2322,,243910.962,179606.9616,730045.2999,342403.4057
1,103844.6877,5507365.426,,95299.0455,179672.2372,66014.8051,67287.7059,3416217.87,,7276758.109,76573.0134,146291.4182,,7161328.282,227065.7227,865817.3416,492115.4539,694921.9922,1740454.864,103573.5224,5507555.199,114046.2594,166068.0579,211730.3196,259197.5841,522080.6447,101066.0215,443033.0227,,,1914815.072,926950.9059,873821.438,2033373.886,1079811.479,270605.7141,332353.0356,306639.7427,86062.168,606449.617,640851.563,125911.648,,,119460.7501,18104.681,24619.0726,565215.0261,8653.1277,158651.8592,,3232980.33,125548.166,820594.0526,1553589.807,,8485690.269,,75018.0235,3924915.291,4156413.878,1855605.138,432732.5028,643063.4825,,77425.4266,2297360.551,2514176.163,84950.4084,,3870384.627,330981.2693,3060754.093,,108639.617,855293.3634,215227.4746,138916.0154,194189.4605,491127.691,1875298.78,1278642.365,5538828.037,1095109.377,735127.2112,3894800.324,,40191.613,108245.9977,208148.8714,205121.2261,357943.2252,220562.9745,213948.6238,378617.5595,6514153.215,231352.8334,2724187.166,742938.8905,4896416.792,1288098.712,320766.055,136832.0863,,,885534.4672,1660213.053,420699.6528,1663978.567,839784.1658,7896304.415,1664990.403,68985.7233,1471674.587,,2109268.126,,2541139.492,353631.1667,296933.9541,2374847.573,985019.3781,5815953.182,1918787.062,8401502.735,854543.9931,1668855.752,,3442889.439,1812388.317,5452592.671,5731178.253,3006954.618,5683287.322,318817.8423,5760246.537,5980652.672,7038954.77,6533205.971,5336940.289,1416757.22,6609295.066,5925940.751,355219.2708,3730304.501,6151046.297,,4284154.72,172587.1922,4686718.328,195309.0403,197935.3646,255009.7544,4255978.623,8203854.868,800745.2021,2371925.263,145372.2383,369577.1309,3084118.952,8483327.766,,,222606.0396,,102017.2015,1720784.314,2638523.376,1213744.615,177414.1398,1336648.117,256099.7965,459382.1149,236423.413,239826.8599,596748.1964,,6161855.501,1930008.593,410871.1145,72497.8003,,3236436.8,5153613.988,1021182.424,101368.7047,1165774.423,,17029385.38,8475802.172,,,287093.7205,57363.6861,912287.7482,
100,,4924347.438,143496.2044,101615.5847,178999.9253,68110.335,34377.7332,1859278.839,67328.1494,6197193.862,284598.8096,203752.5937,222401.1541,6215687.599,325572.2572,529102.1932,452846.2641,1031787.587,,83532.0833,2843799.325,150631.8654,215312.9934,986454.8074,672164.6201,243604.7978,616956.944,383205.5539,36044.2444,,1973343.691,749746.4324,713688.7484,,827538.2611,67359.5795,184209.238,295548.2293,207135.4211,,658205.7177,117528.2589,,100641.6597,127406.2943,,10967.4326,403723.5263,11692.6081,218799.5027,,4072305.257,130369.5943,818681.4953,1507281.841,8209814.465,8618613.666,622823.1577,60940.585,3263942.654,5347666.447,2111296.566,339139.4719,474784.9769,4280838.726,51264.2186,2680181.698,,84091.2257,,2781193.406,164063.099,1914859.603,81780.8211,163509.1866,861071.6957,130062.7294,91748.8745,216526.2637,,1055831.079,589151.4267,3363477.656,509454.5217,375169.9183,3803060.588,93632.0302,46833.7485,104339.3546,128505.0793,249596.1873,332885.3764,100452.604,164521.4451,506337.9331,4042825.556,230928.8503,1552770.33,682311.1965,2505875.93,884044.2448,156454.6374,213168.9289,,,546028.909,1278944.505,248960.7327,834683.6237,437126.0038,7906261.345,1333776.414,67180.2057,987098.1494,,2396045.455,,2196892.943,311222.3042,219004.0917,2661926.067,1285713.649,5433159.31,1914509.386,8444362.823,665931.0239,1002993.189,175309.1109,1918454.522,1334003.816,7413229.234,4879385.509,3013411.164,6220487.194,245994.2947,5465808.789,4506454.631,7868248.645,5000184.679,3863362.559,1088513.665,4440685.412,4831552.399,204258.9693,6565641.337,5159395.433,1787307.56,5347552.283,273236.3951,3736043.287,56439.43,162324.9718,,5385394.883,5888869.793,229625.5308,2252057.091,94445.7699,385852.1705,3203766.242,8459757.314,23186.223,,258043.2879,,96473.9261,1688309.147,3286172.231,,69595.2071,1196638.111,1226632.073,489118.3574,424989.8091,789471.8509,1110428.001,129227.2568,5256476.685,1190177.0,235878.0059,93001.4676,9759.0366,2427223.21,4735442.597,686798.2508,159033.0174,1235971.225,,1707864.14,8565470.955,,,366684.3155,48281.8475,492015.7907,349668.2979
103,,5561631.242,274627.9317,87224.6379,231871.024,59006.5188,58220.3374,2598942.057,,6640715.893,383009.4911,,552774.7677,6758945.884,,453823.2169,119012.8389,,,77389.7042,2042074.811,123895.1218,198077.6742,228766.0869,454420.1431,412867.0951,108109.9467,,60327.8808,61443.3032,2629196.041,572858.9926,446995.1521,,1293932.417,262357.4894,561837.7757,556654.7324,,337702.9737,721151.393,253827.6747,140289.0142,,144114.3456,14466.0566,30712.2579,273534.5104,72765.9684,103171.5356,4704490.739,4694710.797,76393.064,,2178876.315,11335681.05,8548741.132,1955210.89,67116.1833,2318745.773,4955657.098,3481117.093,,513861.9963,60210.7032,50471.0948,1882990.824,3130562.795,98162.5039,242333.9031,3798177.211,425040.382,882036.2405,131590.1269,226098.2771,790257.9564,296841.0705,198786.74,399736.4977,,1160248.734,996620.178,4517129.162,508059.6896,513402.5577,3576432.299,91330.8057,24051.5194,87393.4563,79533.6212,404279.6212,354945.1446,155023.3492,187663.5515,,3375763.541,79429.802,,,3133069.262,798325.1467,217233.1856,,,68383.0905,1283438.789,2420270.128,490668.3839,1155962.318,479594.3981,8662548.394,,30065.3551,2140823.512,,,,2536992.921,248983.4982,154740.8982,4306532.425,981891.9801,3122166.805,1468424.423,7762459.891,,1115041.037,2650469.158,3514626.031,1472085.166,7478977.46,4064902.969,604819.3497,6071444.741,805813.6955,4302703.852,5669705.28,8167717.285,7309111.407,6211497.791,1733540.587,7681310.334,6932163.495,328716.4252,3625670.079,4907278.997,1276161.754,7502556.155,127655.4642,3727194.815,161109.9935,217900.7678,,4191167.683,6980229.462,256621.5359,,96856.6391,103869.5375,2634778.187,8389350.327,,,136857.1997,2666580.153,102935.2129,1383202.179,3582448.748,1005819.555,225998.5086,1424311.762,633681.3881,621772.6873,200225.7619,486092.0998,666421.4501,141255.1245,6479453.98,1393427.31,628637.3633,57165.9694,,3475746.555,4958370.432,798813.7747,130929.6418,975684.4413,,17152350.56,8493955.34,,566976.3694,493444.4857,412512.0733,383476.2051,427031.804
104,63256.1157,6200750.01,64773.6406,,155205.6761,72640.1297,47722.3368,2653590.174,,6380874.471,273655.5464,185318.231,417364.3161,6657783.933,212173.1931,579904.0439,169458.646,193057.5615,,73121.5648,4004146.081,117551.0882,241430.3165,,493334.1868,501339.2669,71027.2174,419178.3973,68263.6394,67438.6904,3391766.707,606585.2188,667802.0962,,944916.4437,642909.0088,142814.4999,379225.9833,156636.027,339518.9177,470789.684,192781.1593,,,131082.5057,35505.3331,35280.2138,308902.7301,43457.4703,,4894700.507,4780145.818,,,2569235.503,9860149.997,8386932.625,294045.0102,33755.8807,2810347.165,6199667.034,2725874.117,,602136.6288,,70558.6479,1724635.24,,99296.2225,177251.0673,3521309.126,,1390486.548,,163709.2829,912972.6303,233411.9984,180072.1875,,,4118821.402,756175.7246,5159895.442,1132072.039,800886.3981,3658475.004,,,,99948.8259,423243.7609,311664.181,172304.789,68299.1788,150067.6164,1036659.32,70887.8151,,,3320259.048,510272.6918,143893.9906,188092.4289,,561009.0129,287409.948,95141.7861,,1094383.51,588010.0648,6690801.803,1598144.689,,1507265.699,1177018.441,,7391246.022,758301.6094,484979.6776,361878.5486,6782771.013,1971454.654,4082357.901,1525368.288,8364408.118,,1672289.511,4095133.305,5917905.318,2374930.015,9481561.599,1654698.216,602417.946,7001819.293,360368.5806,5455124.126,4827962.131,8367777.761,6597891.968,6446291.196,1748026.246,7948379.368,6700173.971,273449.5329,4276805.612,5771619.844,1444622.538,,,4610991.741,117068.8645,148946.5128,,5657572.091,7064262.803,365711.3657,,90223.7989,244915.5025,4045802.887,8446810.157,80882.4345,,174195.8514,6616817.949,238911.0657,1507739.955,4253407.031,1552564.634,80619.373,,105220.8528,682204.6611,473915.3971,240205.5368,328183.5964,117186.7081,6312959.907,1432001.063,,98399.9285,,2834674.763,1709449.339,469772.3683,98337.5579,6462513.559,,,8507658.564,170502.9046,,177425.2386,43676.0985,959301.7998,
105,41928.0197,4231825.23,189890.2582,72959.119,222313.0522,58740.9724,,2029352.705,60166.8901,6120888.514,176297.4803,205657.6113,91827.2227,6126804.351,153391.5855,552780.5334,,834962.3756,,87514.1769,3233997.515,153663.4623,177513.5992,139099.2498,405923.6668,,73487.4233,435489.8129,26837.7693,119146.0762,2137271.118,592566.2056,497073.344,,921782.0359,440505.9263,176722.3342,285796.665,181009.7256,122359.5709,,202981.9244,,78965.2805,64835.4279,5642.4498,31400.5883,230615.9244,18543.9957,242183.6453,,4206058.411,96736.1514,,1138241.34,8206627.967,8517370.915,123464.9105,66565.1274,3461074.122,3252466.321,1079655.598,670624.8322,520019.4604,306465.1402,48302.618,1850209.859,,69210.5676,,3378649.563,321979.8938,2155898.733,70507.4255,177604.827,638671.4572,263604.4305,79317.2088,,259019.8146,2838263.986,420999.099,3517398.142,1052511.602,650344.3434,3659676.437,,22954.5311,160773.6798,,262497.4312,227629.6476,83556.2682,112351.5217,303112.0813,3053376.415,68918.4589,1173716.323,405460.8507,2205786.363,710829.6665,250037.6967,183818.6657,,68524.1355,514308.0852,1581821.741,,756955.5936,382675.0071,8780067.702,1851796.478,,1997073.454,391524.8319,1348422.035,3603603.309,2083027.336,299053.0371,198526.845,1886470.902,1092921.785,2247464.269,633163.2929,5970114.441,1149037.236,1220777.031,,3656547.904,1347879.478,5319104.0,2003854.428,533237.5191,5134730.918,397208.7073,3565299.536,4442118.432,7407391.17,4935396.37,3662685.384,1131589.631,5450591.594,4761256.328,209522.8643,4220102.145,4879155.427,1264209.198,249695.948,126520.8741,2981754.551,,184131.2292,,4888000.013,6084668.788,640520.3404,206887.6417,107954.4558,185702.3448,2362791.378,8676469.734,167083.4653,,157411.6237,661028.2059,60065.0958,1017151.921,1218953.237,1105590.78,100277.1701,,824546.3937,,522657.1117,147390.1916,368886.4349,100063.6166,5242767.126,720805.1586,,100137.7323,10665.9299,2225965.56,3903623.782,494549.6944,131983.4104,1606803.689,,8265972.552,5387122.076,,121169.9425,106175.9911,108949.5739,329980.1508,
106,,5203786.763,715434.9638,89496.5669,129376.0949,,70602.6994,2582024.384,,6820607.281,188299.2941,154803.4505,844010.9161,6927102.814,205823.8355,2383500.777,781455.3118,,,88760.6649,3338627.764,131472.5908,187808.0516,1779070.905,241773.3974,510860.4752,952427.7224,,50711.3668,76975.1608,4007040.077,697303.1813,584330.7354,2036252.101,1490492.31,664006.5419,461459.044,506009.4418,313726.7974,448459.3275,675400.0256,96816.9019,,,,26133.5975,29350.3308,410057.0054,43319.1355,77704.6691,5321711.238,4941574.512,125306.2775,,,7795029.886,8579786.766,,83233.6644,3332991.319,2943409.963,1035240.093,348160.2738,586602.2061,3376811.121,128796.307,2754363.014,,108958.3942,,3920843.177,63844.7081,1274979.418,90848.3764,253988.886,3529065.928,134868.564,,305746.9197,,1415272.485,1027311.822,5499186.602,1521161.276,934374.7009,3378826.858,92379.667,36430.9746,28212.2418,,330938.2383,408143.7534,136634.2197,,446538.1638,2588052.557,98975.9108,,,3335692.167,733684.979,235364.3213,268807.4869,,134886.944,881053.5728,307338.4268,310186.867,1041393.076,498685.8575,8156902.42,1738316.144,61089.1534,2035054.104,501985.8564,,,1712998.176,152953.994,116851.5187,2639717.819,777592.2413,4116153.275,1910718.406,8350712.732,1103398.463,1372642.614,891195.7794,2856525.343,1337664.3,1405883.167,3271506.533,360637.9539,3992021.063,651729.9307,5078281.027,7010683.311,6877844.583,7719998.077,6685627.761,1838826.88,7739205.77,7226431.299,294301.4911,6056858.42,5906861.088,1224912.702,4200550.475,143794.3208,2559244.449,132694.7767,303942.8232,625878.0617,4620677.758,7302255.677,198403.7694,,116808.2735,755820.9459,2218407.895,8373436.829,167026.6826,,167851.1341,,95845.3007,1922350.446,2993645.126,1469075.48,187674.5939,2341287.021,1270692.032,818745.9517,391618.1057,101968.1363,749543.8116,104973.6951,6984443.216,1438861.828,329210.0944,145449.321,36135.0331,2410728.662,6832711.351,1770891.272,178319.5389,1537787.987,,8124832.941,8439642.768,130458.6096,,321207.2018,,858580.9115,605620.2649
